Title;Author;Keywords
To Kill a Mockingbird;Harper Lee;Classic, Law, Racism
Pride and Prejudice;Jane Austen;Romance, Society, Marriage
The Great Gatsby;Francis Scott Fitzgerald;American Dream, Wealth, Love
1984;George Orwell;Dystopia, Totalitarianism, Individualism
The Catcher in the Rye;Jerome David Salinger;Identity, Alienation, Rebellion
Harry Potter and the Philosopher's Stone;Joanne Rowling;Magic, Friendship, Adventure
The Lord of the Rings;John Ronald Reuel Tolkien;Fantasy, Quest, War
The Hobbit;John Ronald Reuel Tolkien;Adventure, Dragons, Courage
Crime and Punishment;Fyodor Dostoevsky;Guilt, Redemption, Psychology
War and Peace;Leo Tolstoy;History, War, Family
Anna Karenina;Leo Tolstoy;Adultery, Society, Agriculture
The Adventures of Huckleberry Finn;Mark Twain;Friendship, Freedom, Hypocrisy
Moby Dick;Herman Melville;Obsession, Revenge, Whaling
Jane Eyre;Charlotte Bronte;Love, Society, Morality
Wuthering Heights;Emily Bronte;Love, Revenge, Class
Great Expectations;Charles Dickens;Wealth, Love, Redemption
Little Women;Louisa May Alcott;Family, Love, Independence
One Hundred Years of Solitude;Gabriel Garcia Marquez;Family, Time, Solitude
The Odyssey;Homer;Heroism, Adventure, Loyalty
Ulysses;James Joyce;Identity, Religion, Modernism
Madame Bovary;Gustave Flaubert;Adultery, Society, Desire
The Divine Comedy;Dante Alighieri;Afterlife, Justice, Faith
The Brothers Karamazov;Fyodor Dostoevsky;Faith, Doubt, Patricide
Les Miserables;Victor Hugo;Justice, Love, Redemption
The Iliad;Homer;War, Honor, Wrath
Don Quixote;Miguel de Cervantes;Chivalry, Reality, Madness
The Trial;Franz Kafka;Law, Guilt, Alienation
The Stranger;Albert Camus;Existentialism, Death, Absurdism
A Tale of Two Cities;Charles Dickens;Revolution, Sacrifice, Resurrection
Moby Dick;Herman Melville;Obsession, Revenge, Whaling
